title,price,currency,area_sqm,location,bedrooms,bathrooms,url
Villa 3 Bedrooms | Covered Terrace | 5% Down Payment | 8-Year Installments | Fully Finished,34500000,EGP,155,"Ramla, North Coast, Matruh",3,4,https://www.bayut.eg/en/property/details-502141763.html
"Chalet with private garden for sale, Blanca - Marassi - North Coast",24800000,EGP,149,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502575871.html
"VIP villa in front of Madinaty, with a superior location and layout, 50% discount and installments over 12 years.",15850000,EGP,212,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",4,3,https://www.bayut.eg/en/property/details-502873681.html
"Furnished chalet for sale, Sea View - Porto Marina – North Coast",7600000,EGP,158,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502560679.html
Apartment for sale in Sheikh zayed next to Newgiza,10000000,EGP,208,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502864175.html
very unique apartment with special payment in TAJ,8500000,EGP,115,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",2,2,https://www.bayut.eg/en/property/details-502872449.html
very unique chalet with panoramic lagoon view,13000000,EGP,170,"Taj City Compound, 1st Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502873626.html
Townhouse for sale In Silver Sands For Sale With Lowest Price 3 Bedrooms Fully Finished By Ora @North Coast,24000000,EGP,148,"Taj City Compound, 1st Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502867370.html
Fully Finished Apartment For Sale With Lowest Price Under Market Price -3 Bedrooms- In Swan Lake West,12500000,EGP,199,"Joulz Compound, 6th of October, Giza",3,3,https://www.bayut.eg/en/property/details-502868150.html
"Villa for sale, 750 meters, ultra-super, fully furnished",64800000,EGP,750,"Taj City Compound, 1st Settlement, New Cairo, Cairo",7,7,https://www.bayut.eg/en/property/details-502874537.html
"Luxury Standalone Villa | First Row by the Sea | 275 sqm – Fully Furnished | Prime Location in Amwaj, Sidi Abdelrahman",39200000,EGP,275,"Joulz Compound, 6th of October, Giza",4,4,https://www.bayut.eg/en/property/details-502091956.html
"Ground floor apartment with garden, fully furnished, for sale at the lowest price in Lakeview Residence.",13900000,EGP,122,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",2,2,https://www.bayut.eg/en/property/details-502868263.html
New Release at O West Delivery 2 Years with Lowest Price on 9 Years Installments | Property at O west | Property at October,8600000,EGP,128,"Mesca, Soma Bay, Red Sea",2,2,https://www.bayut.eg/en/property/details-502868657.html
New Release Loft with Lowest Price without Down Payment From ORA | Property at Solana | Property at New Zayed,14500000,EGP,175,"Garnet Compound, 5th Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502868380.html
RTM very unique apartment with garden by DORRA,5800000,EGP,125,"Sarai, Mostakbal City, Cairo",2,2,https://www.bayut.eg/en/property/details-502871969.html
own Ready To Move Fully Finished Apartment in o West By orascom,7005800,EGP,181,"Palm Parks Compound, 6th of October, Giza",3,3,https://www.bayut.eg/en/property/details-502444780.html
"bedroom chalet for the price of a 1-bedroom unit, with a pool view in the heart of Marassi. Unbeatable price! Marassi, North Coast,Sidi Abdel Rahman",12000000,EGP,75,"Palm Parks Compound, 6th of October, Giza",2,1,https://www.bayut.eg/en/property/details-502711022.html
Royal Residence Overlooking Nile in St Regis Next To Four season hotel Apartment For Sale In Zamalek - Luxury Finishing Next To DownTown,21000000,EGP,250,"Palm Parks Compound, 6th of October, Giza",2,2,https://www.bayut.eg/en/property/details-502873447.html
High End Modern Finishing Penthouse for Sale in Galleria Moon Valley,18000000,EGP,230,"Swan Lake Residences, 1st Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502866712.html
"Ready to Move fully finished, with a direct sea view in Telal Ain Sokhna village.",9500000,EGP,140,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",4,3,https://www.bayut.eg/en/property/details-502869257.html
"VIP apartment with a 50% discount, opposite Cairo Airport, Nasr City extension, next to Gardenia.",7100000,EGP,166,"The Mornings, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502873728.html
